date;week;region;Mean(R);Quantile.0.025(R);Quantile.0.975(R)
2020-04-23;17;Antofagasta; 1,3876369;1,13601681; 1,6720018
2020-04-24;17;Antofagasta; 1,3228536;1,10348234; 1,5810626
2020-04-25;17;Antofagasta; 1,3286481;1,12618079; 1,5605287
2020-04-26;17;Antofagasta; 1,3890150;1,19044873; 1,6169586
2020-04-27;18;Antofagasta; 1,3099877;1,11288350; 1,5295130
2020-04-28;18;Antofagasta; 1,3015864;1,11933996; 1,5076469
2020-04-29;18;Antofagasta; 1,2756005;1,10356328; 1,4727951
2020-04-30;18;Antofagasta; 1,2651225;1,10017433; 1,4489265
2020-05-01;18;Antofagasta; 1,2839392;1,12451688; 1,4606626
2020-05-02;18;Antofagasta; 1,4582700;1,28420126; 1,6504665
2020-05-03;18;Antofagasta; 1,4682221;1,25704911; 1,6857956
2020-05-04;19;Antofagasta; 1,3676575;1,15901483; 1,5926896
2020-05-05;19;Antofagasta; 1,3294540;1,14376782; 1,5428383
2020-05-06;19;Antofagasta; 1,2689511;1,10305401; 1,4625000
2020-05-07;19;Antofagasta; 1,2605091;1,11235857; 1,4340207
2020-05-08;19;Antofagasta; 1,2019890;1,06704712; 1,3569275
2020-05-09;19;Antofagasta; 1,1500622;1,02937947; 1,2865105
2020-05-10;19;Antofagasta; 1,0710338;0,96557372; 1,1883059
2020-05-11;20;Antofagasta; 1,0932490;0,99604982; 1,1998436
2020-05-12;20;Antofagasta; 1,2102967;1,11156468; 1,3158418
2020-05-13;20;Antofagasta; 1,3079783;1,19394806; 1,4245920
2020-05-14;20;Antofagasta; 1,2930724;1,15515344; 1,4284488
2020-05-15;20;Antofagasta; 1,2426401;1,10610534; 1,3858057
2020-05-16;20;Antofagasta; 1,1975864;1,07391970; 1,3356280
2020-05-17;20;Antofagasta; 1,1724164;1,05914892; 1,2969919
2020-05-18;21;Antofagasta; 1,2265006;1,11657825; 1,3452536
2020-05-19;21;Antofagasta; 1,1889097;1,07826249; 1,3070001
2020-05-20;21;Antofagasta; 1,1971214;1,09258980; 1,3118093
2020-05-21;21;Antofagasta; 1,1626941;1,06112032; 1,2741289
2020-05-22;21;Antofagasta; 1,1685487;1,07146717; 1,2751929
2020-05-23;21;Antofagasta; 1,1705481;1,07610501; 1,2723866
2020-05-24;21;Antofagasta; 1,1549696;1,06254176; 1,2541580
2020-05-25;22;Antofagasta; 1,1569265;1,06723948; 1,2537878
2020-05-26;22;Antofagasta; 1,0693227;0,98534679; 1,1602273
2020-05-27;22;Antofagasta; 1,0127365;0,94045902; 1,0910604
2020-05-28;22;Antofagasta; 1,0611353;0,99249556; 1,1321499
2020-05-29;22;Antofagasta; 1,0678545;1,00000377; 1,1390621
2020-05-30;22;Antofagasta; 1,0673238;0,99962560; 1,1380199
2020-05-31;22;Antofagasta; 1,0587714;0,99102736; 1,1287348
2020-06-01;23;Antofagasta; 1,0371560;0,97201931; 1,1047011
2020-06-02;23;Antofagasta; 1,0332686;0,96827621; 1,0996321
2020-06-03;23;Antofagasta; 1,0102020;0,94724885; 1,0757461
2020-06-04;23;Antofagasta; 1,1069786;1,04258358; 1,1749091
2020-06-05;23;Antofagasta; 1,0898103;1,02082453; 1,1598955
2020-06-06;23;Antofagasta; 1,1226808;1,05179261; 1,1958090
2020-06-07;23;Antofagasta; 1,1675973;1,09095635; 1,2464002
2020-06-08;24;Antofagasta; 1,1552471;1,07021270; 1,2402727
2020-06-09;24;Antofagasta; 1,2203768;1,13177943; 1,3135586
2020-06-10;24;Antofagasta; 1,2477705;1,14530832; 1,3522469
2020-06-11;24;Antofagasta; 1,2626112;1,15097064; 1,3778438
2020-06-12;24;Antofagasta; 1,2525971;1,13471186; 1,3763120
2020-06-13;24;Antofagasta; 1,2255985;1,11226280; 1,3505570
2020-06-14;24;Antofagasta; 1,2938263;1,18261845; 1,4193712
2020-06-15;25;Antofagasta; 1,3637935;1,23340363; 1,4995651
2020-06-16;25;Antofagasta; 1,2948381;1,15229958; 1,4412100
2020-06-17;25;Antofagasta; 1,2565402;1,12846792; 1,4001658
2020-06-18;25;Antofagasta; 1,2763792;1,15898827; 1,4123407
2020-06-19;25;Antofagasta; 1,3434339;1,22145650; 1,4818306
2020-06-20;25;Antofagasta; 1,4090135;1,26370608; 1,5603110
2020-06-21;25;Antofagasta; 1,3719874;1,21022774; 1,5395932
